gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4462298411,1,21,6,1,6,2,7,1,0,1,0,16836,7.2,19773,242,60,2569,2378,24.2,1683.6,41,4,0,2,6,1,1,1,0,0,14267,6.8,17395,228,45,-2569,-2378,22.8,1426.7
4499613300,0,14,0,0,3,7,1,0,0,0,0,14428,6.6,16819,215,52,-1217,-539,21.5,1442.8,62,3,1,7,3,11,1,1,0,0,15645,6.8,17358,216,32,1217,539,21.6,1564.5
4520671984,1,16,6,1,12,6,25,1,1,0,0,19321,7,18437,226,42,2574,359,22.6,1932.1,15,2,0,6,12,9,0,0,0,0,16747,7,18078,228,56,-2574,-359,22.8,1674.7
4450067073,0,46,1,0,4,10,3,0,0,0,0,15400,6.6,16607,188,45,-2552,-2052,18.8,1540,51,2,1,10,4,13,1,1,0,0,17952,6.8,18659,212,50,2552,2052,21.2,1795.2
4524773384,1,18,0,0,7,7,10,1,1,0,0,16585,6.8,16982,191,42,-536,-864,19.1,1658.5,17,1,1,7,7,9,0,0,0,0,17121,6.8,17846,234,52,536,864,23.4,1712.1
4522151939,0,17,7,0,7,7,6,0,0,0,0,16230,6.8,17336,216,40,-4,-139,21.6,1623,14,3,1,7,7,5,0,0,0,0,16234,7,17475,177,63,4,139,17.7,1623.4
4521293545,1,17,1,1,6,2,5,1,0,1,0,17834,7.2,19145,276,44,3797,2242,27.6,1783.4,10,1,0,2,6,3,1,1,0,0,14037,6.8,16903,202,48,-3797,-2242,20.2,1403.7
4498239413,0,15,2,0,4,7,3,1,1,0,0,16028,7.4,19000,249,56,-2863,-875,24.9,1602.8,13,3,1,7,4,6,0,0,0,0,18891,7.4,19875,242,52,2863,875,24.2,1889.1
4459704027,1,18,19,1,5,2,7,1,1,0,0,16858,7.2,18543,251,39,2407,939,25.1,1685.8,43,1,0,2,5,3,0,0,0,0,14451,6.6,17604,221,44,-2407,-939,22.1,1445.1
4484202806,0,12,3,0,4,10,1,0,0,0,0,14816,6.6,16519,218,46,-4490,-3582,21.8,1481.6,15,0,1,10,4,6,2,1,1,1,19306,7.4,20101,247,56,4490,3582,24.7,1930.6
4521182941,1,17,2,0,17,9,19,0,0,0,0,20619,7.4,18696,205,43,2828,1962,20.5,2061.9,17,2,1,9,17,7,1,1,0,0,17791,6.8,16734,198,38,-2828,-1962,19.8,1779.1
4518987840,0,17,0,0,2,9,1,0,0,0,0,13405,6.4,15189,182,43,-5392,-2904,18.2,1340.5,19,2,1,9,2,19,1,1,0,0,18797,6.8,18093,231,54,5392,2904,23.1,1879.7
4454235667,1,19,3,0,9,5,9,1,1,0,0,18449,7.2,19139,257,45,2334,1246,25.7,1844.9,62,3,1,5,9,6,0,0,0,0,16115,6.8,17893,231,48,-2334,-1246,23.1,1611.5
4448427323,0,14,1,1,15,3,5,0,0,0,0,19038,7.2,19801,261,32,4941,4702,26.1,1903.8,17,2,0,3,15,5,0,0,0,0,14097,6.2,15099,190,48,-4941,-4702,19,1409.7
4459609583,1,20,2,0,7,3,9,0,0,0,0,17354,7.4,20449,224,63,2301,3412,22.4,1735.4,10,2,1,3,7,4,0,0,0,0,15053,6.6,17037,240,44,-2301,-3412,24,1505.3
4491653265,0,33,3,0,9,12,10,0,0,0,0,18082,7.2,18637,209,54,24,235,20.9,1808.2,52,4,1,12,9,11,2,1,1,0,18058,7,18402,200,44,-24,-235,20,1805.8
4520047610,1,16,2,0,6,6,7,0,0,0,0,16138,6.8,17204,211,31,-243,418,21.1,1613.8,11,3,1,6,6,13,1,0,1,0,16381,6.6,16786,188,52,243,-418,18.8,1638.1
4509495092,0,17,1,0,1,5,0,1,1,0,0,14004,6.4,16302,217,39,-1113,-1381,21.7,1400.4,10,2,1,5,1,5,0,0,0,0,15117,7,17683,212,32,1113,1381,21.2,1511.7
4520390476,1,11,3,1,8,2,11,1,1,0,0,17794,7,17983,220,56,4793,3669,22,1779.4,12,0,0,2,8,2,0,0,0,0,13001,5.8,14314,217,12,-4793,-3669,21.7,1300.1
4479540109,0,14,3,0,2,7,1,0,0,0,0,15373,7.2,18734,252,68,-1942,140,25.2,1537.3,81,1,1,7,2,10,2,1,1,0,17315,7.2,18594,226,52,1942,-140,22.6,1731.5
4487249336,1,38,0,1,11,6,15,1,1,0,0,19218,7,19389,197,56,3248,2147,19.7,1921.8,16,2,0,6,11,4,0,0,0,0,15970,6.8,17242,205,48,-3248,-2147,20.5,1597
4524524540,0,16,2,0,10,13,12,0,0,0,0,18178,6.8,17540,200,35,-286,-494,20,1817.8,17,4,1,13,10,12,1,1,0,0,18464,6.8,18034,171,40,286,494,17.1,1846.4
4482519172,1,52,4,0,10,4,15,1,1,0,0,18501,7.6,19714,230,64,2907,2700,23,1850.1,12,0,1,4,10,6,0,0,0,0,15594,7,17014,215,55,-2907,-2700,21.5,1559.4
4524619949,0,14,3,0,3,10,4,0,0,0,0,14742,6.6,15941,215,52,-3540,-3279,21.5,1474.2,21,0,1,10,3,13,1,1,0,0,18282,7.2,19220,227,44,3540,3279,22.7,1828.2
4518118181,1,12,2,1,6,7,7,0,0,0,0,16119,6.6,16372,203,51,292,-206,20.3,1611.9,25,1,0,7,6,6,1,1,0,0,15827,6.6,16578,206,36,-292,206,20.6,1582.7
4514643182,0,13,1,0,5,9,7,0,0,0,0,15449,6.6,16663,195,56,-2975,-2542,19.5,1544.9,17,3,1,9,5,15,1,1,0,0,18424,7.2,19205,258,48,2975,2542,25.8,1842.4
4505754774,1,28,6,0,14,6,22,0,0,0,0,19890,6.8,17275,174,46,4401,2185,17.4,1989,16,2,1,6,14,6,1,1,0,0,15489,6.2,15090,204,36,-4401,-2185,20.4,1548.9
